Matrix ID,Matrix Tag Comment,Matrix Type,Diff. Matrix Info.,Branch/Terr.,Home Branch,Bill To ID,Customer ID,Customer Name,Price Class,Outside Salesperson,Price Line,SellGroupAll,SellGroupMscAll,SellGroupMregAll,PROD_NBR,Product Description,Price Date Ovrd.,LIST,UMSP,CMP,STD-COST,REP-COST,AVG-COST,LASTCOST,Lnd Cost,Avg Lnd,Price Basis#,Price Formula,Qty Break Basis,Qty Break Formula,Qty Brk. Form Constant,Qty Break Points,Qty Break UOM,Qty Brk. Form Multplier,Split Qty,Cost Basis#,Cost Formula,Effective Date,Expire Date,Enable Rnding Rules
1029~159~834277~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,834277,MILWTL PACKOUT COMPACT LOW-PROFILE,,48.000,40.000,25.470,22.918,22.250,22.250,22.250,22.250,22.250,5,*1.5384,5,*1.5384,0,,,153840000,N,,,04/01/2022,06/30/2022,N
1002~159~402004~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,FASTPART,FASTPART,FASTPART ACC,FQ1,402004,FSTPRT BF 163S BI-FLOW FLTR DRYER,,109.020,0,69.570,36.490,35.430,35.430,35.430,35.430,35.430,1,$44.500,1,$44.500,44.50000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~1498900~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,RECSEAL,RECSEAL,RECSEAL,RECSEAL,1498900,RECTORSEAL PRO-FIT 7/8IN QUIK CNECT,,50.934,0,36.102,20.373,19.780,19.780,19.780,19.780,19.780,5,GP30,5,GP30,0,,,142857143,N,,,12/01/2021,06/30/2022,N
1006~159~1457286~19694.2,,N,,1006,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,UPONOR,UPONOR,UPONOR PIPE,UPONOR,1457286,UPONOR 1X300FT AQUAPEX WHT BLUE,,2.917,0,3.124,1.170,1.136,1.136,1.136,1.136,1.136,28,GP16.65,28,GP16.65,0,,,119976005,N,,,12/01/2021,06/30/2022,N
1100~159~414934~19694.2,,N,,1100,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,MSC HVAC TOOLS,414934,MALCO MSHC DUAL SIDED 1/4 AND 5/16,,7.416,0,10.300,3.708,3.600,3.600,3.600,3.600,3.600,28,GP42.8,28,GP42.8,0,,,174825175,N,,,12/01/2021,06/30/2022,N
1008~159~15470~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,15470,AOSMTH CNTRLLER BTH 199A 100111040,,708.000,0,810.071,364.620,354.000,354.000,354.000,354.000,354.000,28,GP21.2,28,GP21.2,0,,,126903553,N,,,12/01/2021,06/30/2022,N
1029~159~777963~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL ACC,MILWTOOL,777963,MILWTL 2-5/8 CARBIDE TOOTH HOLE,,37.100,34.100,24.990,17.407,16.900,16.900,16.900,16.900,16.900,5,*1.6667,5,*1.6667,0,,,166670000,N,,,04/01/2022,06/30/2022,N
1002~159~662425~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,662425,REHAU 1/2X1/2 CM OR 3/8 CF EVERLOC,,13.290,0,15.196,5.887,5.715,5.715,5.715,5.715,5.715,28,GP13.2,28,GP13.2,0,,,115207373,N,,,12/01/2021,06/30/2022,N
1008~159~415566~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOPARTS,415566,AOSMTH FINAL BRNR ASSY NG 16 #34,,171.000,0,194.875,88.065,85.500,85.500,85.500,85.500,85.500,28,GP35.99,28,GP35.99,0,,,156225590,N,,,12/01/2021,06/30/2022,N
1002~159~10554~19633.2,,O,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURAL,DURAL,POLYGASF,GP1,10554,DURLINE COATED COMPRESSION CPLG,,22.100,0,59.030,22.763,22.100,22.100,22.100,22.100,22.100,,,,,,,,,N,5,$22.1000,10/01/2021,12/31/2022,N
1002~159~10329~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURAL,DURAL,POLYGASF,GP1,10329,DURLINE GAS MOT RISER 36VX24 1-1/2,,45.100,0,108.750,46.453,45.100,45.100,45.100,45.100,45.100,28,GP43.53,28,GP43.53,0,,,177085178,N,,,12/01/2021,06/30/2022,N
1039~159~67945~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,CODY,CODY,MSC REGISTER BOOTS,DP3,67945,CODY 6X6X6 DUCT REGISTER BOX W/FLG,,26.445,0,18.606,10.578,10.270,10.270,10.270,10.270,10.270,1,$15.4040,1,$15.4040,15.40400,,,0,N,,,04/01/2022,06/30/2022,N
1002~159~68485~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,HARRIS,HARRIS,HARRIS,LG,68485,HARRIS .050X1/8X20 SILVER SOLDER,,224.798,0,188.362,89.919,87.300,87.300,87.300,87.300,87.300,1,$107.000,1,$107.000,107.00000,,,0,N,,,04/11/2022,05/06/2022,N
1029~159~30707~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,VERTEX,VERTEX,VERTEX,WF,30707,VERTEX MICRON POLYSPUN SEDIMENT,,0.850,0,1.610,0.876,0.850,0.850,0.850,0.850,0.850,28,GP29.976019,28,GP29.976019,0,,,142808219,N,,,04/01/2022,06/30/2022,N
1002~159~1340616~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AIREX,AIREX,AIREX,AIREX,1340616,AIREX FITS:1/2" WALL INSULATION,,70.060,0,80.250,29.870,29.000,29.000,29.000,29.000,29.000,5,+11.11111,5,+11.11111,0,,,111111110,N,,,12/01/2021,06/30/2022,N
1002~159~842545~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,RECSEAL,RECSEAL,MSC HVAC CHEMICALS,RECSEAL,842545,RECTORSEAL PRO-FIT SWAGING KIT,,241.638,0,171.279,96.655,93.840,93.840,93.840,93.840,93.840,5,GP30,5,GP30,0,,,142857143,N,,,12/01/2021,06/30/2022,N
1100~159~843390~19694.2,,N,,1100,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MALCO,MALCO,843390,MALCO HEX DRV 1/4 5/16 CLEAN 6,,25.466,0,33.220,12.733,12.362,12.362,12.362,12.362,12.362,28,GP26.32,28,GP26.32,0,,,135722041,N,,,12/01/2021,06/30/2022,N
1002~159~13209~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,BERRYPLS,BERRYPLS,MSC TAPE,AR,13209,BERRYPLST 324A PRINTED FOIL TAPE,,35.432,0,33.270,14.173,13.760,13.760,13.760,13.760,13.760,1,$18.000,1,$18.000,18.00000,,,0,N,,,04/11/2022,05/06/2022,N
