Matrix ID,Matrix Tag Comment,Matrix Type,Diff. Matrix Info.,Branch/Terr.,Home Branch,Bill To ID,Customer ID,Customer Name,Price Class,Outside Salesperson,Price Line,SellGroupAll,SellGroupMscAll,SellGroupMregAll,PROD_NBR,Product Description,Price Date Ovrd.,LIST,UMSP,CMP,STD-COST,REP-COST,AVG-COST,LASTCOST,Lnd Cost,Avg Lnd,Price Basis#,Price Formula,Qty Break Basis,Qty Break Formula,Qty Brk. Form Constant,Qty Break Points,Qty Break UOM,Qty Brk. Form Multplier,Split Qty,Cost Basis#,Cost Formula,Effective Date,Expire Date,Enable Rnding Rules
1040~159~36813~19815,,N,,1040,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,WATTS,WATTS,WATTS VACUUM,WATTS VACUUM,36813,WATTS 3/4 VAC RELIEF VLV LFN36M1,,132.500,0,148.929,6.777,6.580,6.580,6.580,6.580,6.580,28,GP-191.88,28,GP-191.88,0,,,34260655,N,,,04/01/2022,06/30/2022,N
1002~159~581029~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581029,REHAU 3/4X3/4X3/4 EVERLOC POLY TEE,,3.340,0,3.812,1.479,1.436,1.436,1.436,1.436,1.436,28,GP18.06,28,GP18.06,0,,,122040517,N,,,12/01/2021,06/30/2022,N
1002~159~609694~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,609694,REHAU 1-1/2X1-1/4X1-1/2 EVERLOC BRS,,104.830,0,110.960,46.429,45.077,45.077,45.077,45.077,45.077,28,GP13.22,28,GP13.22,0,,,115233925,N,,,12/01/2021,06/30/2022,N
1039~159~10443~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILLROSE,MILLROSE,MSC TAPE,TS,10443,MILLROS BLUE MONSTER TAPE 1X1429,,10.630,0,13.577,4.380,4.252,4.252,4.252,4.252,4.252,28,D0.796364,28,D0.796364,0,,,125570719,N,,,04/01/2022,06/30/2022,N
1039~159~64377~19805,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AQUATIC,AQUATIC,AQUATIC,LB,64377,AQTC 60X32X72 GEL SMTH WALL T&S,,1194.000,0,533.767,645.656,626.850,626.850,626.850,626.850,626.850,28,D0.993317,28,D0.993317,0,,,100672796,N,,,03/22/2022,06/30/2022,N
1039~159~54701~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,CODY,CODY,MSC DUCT WYES,DP5,54701,CODY 4X4X4 SGL WALL DUCT PIPE WYE,,24.591,0,17.766,9.837,9.550,9.550,9.550,9.550,9.550,1,$14.3240,1,$14.3240,14.32400,,,0,N,,,04/01/2022,06/30/2022,N
1002~159~581110~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581110,REHAU 1 EVERLOC PEXA SLEEVE,,1.100,0,1.134,0.487,0.473,0.473,0.473,0.473,0.473,28,GP-2.67,28,GP-2.67,0,,,97399435,N,,,12/01/2021,06/30/2022,N
1002~159~100311~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,FASTPART,FASTPART,FASTPART REFRIG,FQ6,100311,FSTPRT DRIER 163S S 1056378,,51.660,0,35.630,17.290,16.790,16.790,16.790,16.790,16.790,1,$21.090,1,$21.090,21.09000,,,0,N,,,04/11/2022,05/06/2022,N
1008~159~921807~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOPARTS,921807,AOSMTH FINAL BRNR ASSY NG 14 #37,,169.000,0,192.328,87.035,84.500,84.500,84.500,84.500,84.500,28,GP26.78,28,GP26.78,0,,,136574706,N,,,12/01/2021,06/30/2022,N
1044~159~604281~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,604281,MILWTL PACKOUT ROLLING ROOL BOX,,222.000,129.970,129.970,105.060,102.000,102.000,102.000,102.000,102.000,28,GP11.05,28,GP11.05,0,,,112422709,N,,,12/01/2021,06/30/2022,N
1044~159~6471~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,TM1,6471,MALCO ADJ/AUTO CUT-OFF TIE TOOL TY6,,88.191,0,97.790,44.095,42.811,42.811,42.811,42.811,42.811,28,GP12.47,28,GP12.47,0,,,114246544,N,,,12/01/2021,06/30/2022,N
1044~159~6218~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,TM1,6218,MALCO 3 HAND SEAMER S2R,,83.591,0,103.900,41.795,40.578,40.578,40.578,40.578,40.578,28,GP12.47,28,GP12.47,0,,,114246544,N,,,12/01/2021,06/30/2022,N
1002~159~1039635~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,1039635,REHAU STRAIGHT COPPER STUB  1/2 IN.,,18.650,0,20.530,8.261,8.020,8.020,8.020,8.020,8.020,28,GP14.21,28,GP14.21,0,,,116563702,N,,,12/01/2021,06/30/2022,N
1008~159~16201~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,16201,AOSMTH GAS CNTRL VLV NG 100112336,,240.000,0,273.845,123.600,120.000,120.000,120.000,120.000,120.000,28,GP22.3,28,GP22.3,0,,,128700129,N,,,12/01/2021,06/30/2022,N
1002~159~39542~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,IK5,39542,REHAU 1 RAUPEX TUBE 100FT COIL RED,,2.819,0,3.132,1.248,1.212,1.212,1.212,1.212,1.212,28,GP21.89,28,GP21.89,0,,,128024581,N,,,12/01/2021,06/30/2022,N
1029~159~941369~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,941369,MILWTL 1-5/8 PIPE CUTTER 48-22-4210,,95.600,58.990,62.970,42.271,41.040,41.040,41.040,41.040,41.040,5,*1.3423,5,*1.3423,0,,,134230000,N,,,04/01/2022,06/30/2022,N
1002~159~101658~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,JBII,JBII,MSC HVAC TOOLS,TI,101658,JB-IND R-410A LCKG CAP 4-PK SHLD-P4,,35.108,0,42.133,15.162,14.720,14.720,14.720,14.720,14.720,1,$21.660,1,$21.660,21.66000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~581121~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581121,REHAU 1-1/4X1 EVERLOC POLY CPL,,7.860,0,9.353,3.481,3.380,3.380,3.380,3.380,3.380,28,GP28.08,28,GP28.08,0,,,139043382,N,,,12/01/2021,06/30/2022,N
1075~159~45622~19694.1,,N,,1075,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,INSINK,INSINK,INSINK,DS,45622,INSINK BADGER 5 1/2HP GARBAGE,,187.800,187.800,127.098,91.881,89.205,89.205,89.205,89.205,89.205,4,*0.7201,4,*0.7201,0,,,72010000,N,,,12/01/2021,06/30/2022,N
1002~159~1498893~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,RECSEAL,RECSEAL,RECSEAL,RECSEAL,1498893,RECTORSEAL PRO-FIT 1/4IN QUIK CNECT,,22.583,0,16.007,9.033,8.770,8.770,8.770,8.770,8.770,5,GP30,5,GP30,0,,,142857143,N,,,12/01/2021,06/30/2022,N
1008~159~2826~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,2826,AOSMTH TSTAT NG 37C73U-273,,207.000,0,236.908,106.605,103.500,103.500,103.500,103.500,103.500,28,GP36.16,28,GP36.16,0,,,156641604,N,,,12/01/2021,06/30/2022,N
1029~159~2306~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL ACC,MTA,2306,MILWTL 6 24TPI 5PK THIN KERF,,15.600,15.000,11.850,6.232,6.050,6.050,6.050,6.050,6.050,5,*1.8181,5,*1.8181,0,,,181810000,N,,,04/01/2022,06/30/2022,N
1039~159~718824~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REFRIG,REFRIG,AGAS,AGAS,718824,REFRIG R421A 25LB CYLINDER R421A25,,948.682,0,450.240,368.420,368.420,368.420,368.420,368.420,368.420,4,$350.0000,4,$350.0000,350.00000,,,0,N,,,04/01/2022,06/30/2022,N
1029~159~100633~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW POW TOOL,MT,100633,MILWTL M12 WIRELESS JOBSITE SPEAKER,,135.000,117.000,101.250,67.568,65.600,65.600,65.600,65.600,65.600,5,*1.1765,5,*1.1765,0,,,117650000,N,,,04/01/2022,06/30/2022,N
1002~159~481426~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,481426,REHAU 1 RAUPEX BLUE UV SHIELD PIPE,,2.819,0,3.132,1.248,1.212,1.212,1.212,1.212,1.212,28,GP21.89,28,GP21.89,0,,,128024581,N,,,12/01/2021,06/30/2022,N
1040~159~84607~19815,,N,,1040,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIALMFG,DIALMFG,DIALMFG,MA6,84607,DIAL 8 CELDEK PAD FOR ULTRACOOL,,115.452,0,141.150,46.175,44.830,44.830,44.830,44.830,44.830,28,GP46.28,28,GP46.28,0,,,186150410,N,,,04/01/2022,06/30/2022,N
1008~159~182304~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,182304,AOSMTH BLWR PROVER SWITCH 100112757,,39.000,0,44.579,20.085,19.500,19.500,19.500,19.500,19.500,28,GP34.56,28,GP34.56,0,,,152811736,N,,,12/01/2021,06/30/2022,N
1044~159~102157~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL,MT,102157,<D> MILWTL M18 7-1/4 CIRC SAW KIT,,614.500,614.500,442.649,306.168,297.250,297.250,297.250,297.250,297.250,28,GP21.95,28,GP21.95,0,,,128122998,N,,,12/01/2021,06/30/2022,N
1002~159~713013~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,713013,REHAU 1/2 EVERLOC UNIV WASHER,,95.810,0,113.908,42.434,41.198,41.198,41.198,41.198,41.198,28,GP14.18,28,GP14.18,0,,,116522955,N,,,12/01/2021,06/30/2022,N
1040~159~84659~19815,,N,,1040,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIALMFG,DIALMFG,DIALMFG,MA6,84659,DIAL 2SP WALL SWITCH-2 GANG METAL,,7.550,0,20.860,7.777,7.550,7.550,7.550,7.550,7.550,28,GP37.58,28,GP37.58,0,,,160205062,N,,,04/01/2022,06/30/2022,N
1008~159~35952~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,35952,AOSMTH 2500W 120V ELMNT 100108954,,47.000,0,53.496,24.205,23.500,23.500,23.500,23.500,23.500,28,GP18.64,28,GP18.64,0,,,122910521,N,,,12/01/2021,06/30/2022,N
1002~159~48248~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,PVCPIPE,PVCPIPE,PVCPIPE SMALL,PP,48248,PVCPIPE 3X20 SCH40 PVC SOLID,,7.251,0,5.033,3.626,3.520,3.520,3.520,3.520,3.520,28,GP12.91,28,GP12.91,0,,,114823746,N,,,12/01/2021,06/30/2022,N
1039~159~765205~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,LINESET,LINESETS,LINESETS,CT3,765205,MUELLR 3/8X7/8X1/2 50 LINE,,517.140,0,321.030,282.302,274.080,274.080,274.080,274.080,274.080,4,$272.93,4,$272.93,272.93000,,,0,N,,,04/01/2022,06/30/2022,N
1002~159~9783~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURAL,DURAL,POLYGASP,GP,9783,DURLINE POLY GAS PIPE 1-1/2X500,,0.773,0,1.800,0.796,0.773,0.773,0.773,0.773,0.773,28,GP37.3,28,GP37.3,0,,,159489633,N,,,12/01/2021,06/30/2022,N
1008~159~15405~19694.2,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AOPARTS,AOPARTS,AOPARTS,AOP,15405,AOSMTH GAS CNTRL VLV NG 100109446,,222.000,0,253.465,114.330,111.000,111.000,111.000,111.000,111.000,28,GP12.72,28,GP12.72,0,,,114573786,N,,,12/01/2021,06/30/2022,N
1002~159~90970~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,IMPSTLP,IMPSTLP,IMPSTLP SMALL,SN2,90970,ISTLPIPE 1/2 STD BLK A53A T&C PIPE,,2.524,0,1.780,1.009,0.980,0.980,0.980,0.980,0.980,28,GP6.76,28,GP6.76,0,,,107250107,N,,,12/01/2021,06/30/2022,N
1039~159~383600~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,CODY,CODY,MSC REGISTER BOOTS,MSC REGISTER BOOTS,383600,CODY 12X6-8 REG 234 BT W/601 FLNG,,30.771,0,21.809,12.309,11.950,11.950,11.950,11.950,11.950,5,*1.4487,5,*1.4487,0,,,144870000,N,,,04/01/2022,06/30/2022,N
1002~159~296178~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,BERRYPLS,BERRYPLS,MSC TAPE,AR,296178,BERRYPLST 338 FSK FOIL TAPE 3X50YD,,31.003,0,29.130,12.401,12.040,12.040,12.040,12.040,12.040,1,$16.000,1,$16.000,16.00000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~94557~19825.1,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIVTECH,DIVTECH,DIVTECH,FQ8,94557,DIVERS 60A NON-FUSED DISCONNECT,,29.540,0,21.551,11.814,11.470,11.470,11.470,11.470,11.470,1,$14.770,1,$14.770,14.77000,,,0,N,,,04/11/2022,05/06/2022,N
1039~159~61120~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURODYNE,DURODYNE,MSC COM DUCT ACC,DPA,61120,DURDYN 1-3/4 SELF ADHESIVE HGR (100,,27.383,0,39.290,19.039,18.484,18.484,18.484,18.484,18.484,1,$34.2210,1,$34.2210,34.22100,,,0,N,,,04/01/2022,06/30/2022,N
1044~159~5637~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,N,5637,MALCO TURBO SHEAR TS1,,89.898,0,111.760,44.949,43.640,43.640,43.640,43.640,43.640,28,GP12.48,28,GP12.48,0,,,114259598,N,,,12/01/2021,06/30/2022,N
1002~159~90987~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,IMPSTLP,IMPSTLP,IMPSTLP SMALL,SN2,90987,ISTLPIPE 1 STD BLK A53A T&C PIPE,,4.702,0,3.440,1.881,1.826,1.826,1.826,1.826,1.826,28,GP14.07,28,GP14.07,0,,,116373793,N,,,12/01/2021,06/30/2022,N
1002~159~108098~19825.1,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,GLOBAL,GLOBAL,GLOBAL CAPACITOR,GA6,108098,GLBSRC 7.5 MFD 370/440V OVAL RUN,,12.283,0,12.189,4.913,4.770,4.770,4.770,4.770,4.770,1,$5.780,1,$5.780,5.78000,,,0,N,,,04/11/2022,05/06/2022,N
1100~159~1377054~19694.2,,N,,1100,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,NONSTOCK,NONSTOCK,NONSTOCK,NONSTOCK,1377054,** 20X25 FURNACE PLENUM W/,,0,0,0,0,75.000,75.000,75.000,75.000,75.000,8,+73.33333,8,+73.33333,0,,,173333330,N,,,12/01/2021,06/30/2022,N
1029~159~1442100~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL,MILWTOOL,1442100,MILWTL M18 200FT PIPELINE,,15539.000,0,9379.990,7725.000,7500.000,7500.000,7500.000,7500.000,7500.000,5,*1.1765,5,*1.1765,0,,,117650000,N,,,04/01/2022,06/30/2022,N
1002~159~9515~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURAL,DURAL,POLYGASP,GP,9515,DURLINE POLY GAS PIPE 1-1/2X150,,0.773,0,1.910,0.796,0.773,0.773,0.773,0.773,0.773,28,GP37.31,28,GP37.31,0,,,159515074,N,,,12/01/2021,06/30/2022,N
1029~159~1413201~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL PROMO,MILWTOOL,MILWTOOL,1413201,MILWTL 2-LAYER RED FACE MASK,,13.200,0,9.970,6.180,6.000,6.000,6.000,6.000,6.000,5,*1.1765,5,*1.1765,0,,,117650000,N,,,04/01/2022,06/30/2022,N
1044~159~5587~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,TM1,5587,MALCO 1/10 GAL UTILITY CAULK GUN,,8.883,0,13.030,4.441,4.312,4.312,4.312,4.312,4.312,28,GP13.28,28,GP13.28,0,,,115313653,N,,,12/01/2021,06/30/2022,N
1040~159~103040~19815,,N,,1040,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIALMFG,DIALMFG,DIALMFG,MA6,103040,DIAL 1/4 100 FT. BLK POLY TUBE 4321,,5.560,0,13.210,5.727,5.560,5.560,5.560,5.560,5.560,28,GP53.55,28,GP53.55,0,,,215285253,N,,,04/01/2022,06/30/2022,N
1044~159~4061~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW POW TOOL,MT,4061,MILWTL M18 WET/DRY VAC 0880-20,,220.000,119.000,129.000,108.768,105.600,105.600,105.600,105.600,105.600,28,GP-4.22,28,GP-4.22,0,,,95950873,N,,,12/01/2021,06/30/2022,N
1039~159~63807~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,CODY,CODY,MSC DUCT ELBOWS,DP8,63807,CODY 3 SGL WALL DUCT ADJ 90 ELL,,6.438,0,4.316,2.575,2.500,2.500,2.500,2.500,2.500,5,*1.4463,5,*1.4463,0,,,144630000,N,,,04/01/2022,06/30/2022,N
1040~159~68903~19815,,N,,1040,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIALMFG,DIALMFG,DIALMFG,MA6,68903,DIAL 53 V-BELT (4L530) 6553,,5.799,0,6.410,2.318,2.250,2.250,2.250,2.250,2.250,28,GP44.28,28,GP44.28,0,,,179468772,N,,,04/01/2022,06/30/2022,N
1002~159~101523~19825.1,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIVTECH,DIVTECH,DIVTECH,GA7,101523,DIVERS 1/4 HP 115V BLOWER MOTOR,,128.310,0,91.380,51.325,49.830,49.830,49.830,49.830,49.830,1,$64.160,1,$64.160,64.16000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~481463~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,481463,REHAU 1-1/2 RAUPEX WH UV SHIELD,,7.252,0,8.068,3.212,3.118,3.118,3.118,3.118,3.118,28,GP21.99,28,GP21.99,0,,,128188694,N,,,12/01/2021,06/30/2022,N
1035~159~GIMPBRFTG~19664.1,,O,,1035,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,,,,,GIMPBRFTG,,,0,0,0,0,0,0,0,0,0,,,,,0,,,100000000,N,6,*1.03,11/01/2021,12/31/2022,N
1002~159~581175~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581175,REHAU EVERLOC POLY FLW-THRU,,14.650,0,15.520,6.489,6.300,6.300,6.300,6.300,6.300,28,GP22.27,28,GP22.27,0,,,128650457,N,,,12/01/2021,06/30/2022,N
1002~159~863469~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,IK2,863469,REHAU 1-1/2 EVERLOC SLEEVE,,25.090,0,26.880,10.813,10.498,10.498,10.498,10.498,10.498,28,GP30.51,28,GP30.51,0,,,143905598,N,,,12/01/2021,06/30/2022,N
1044~159~1154023~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILW HAND TOOL,MILWTOOL,1154023,MILWTL FASTBACK SPRING ASSISTED,,33.000,0,19.970,13.390,13.000,13.000,13.000,13.000,13.000,28,GP2.57,28,GP2.57,0,,,102637791,N,,,12/01/2021,06/30/2022,N
1039~159~55376~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MMMFG,MMMFG,MSC DUCT WYES,DP5,55376,M&M 12X12X10 SGL WALL DUCT PIPE WYE,,35.381,0,21.924,14.152,13.740,13.740,13.740,13.740,13.740,1,$22.8300,1,$22.8300,22.83000,,,0,N,,,04/01/2022,06/30/2022,N
1002~159~662426~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,662426,REHAU 1/2X3/4 CM EVERLOC LF BRS ELL,,15.310,0,17.496,6.781,6.583,6.583,6.583,6.583,6.583,28,GP13.22,28,GP13.22,0,,,115233925,N,,,12/01/2021,06/30/2022,N
1002~159~108091~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,GLOBAL,GLOBAL,GLOBAL CAPACITOR,GA6,108091,GLBSRC 45/5 MFD 370/440V RND RUN,,45.732,0,44.849,18.293,17.760,17.760,17.760,17.760,17.760,1,$21.520,1,$21.520,21.52000,,,0,N,,,04/11/2022,05/06/2022,N
1029~159~1342812~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL,MILWTOOL,1342812,MILWTL M18 PACKOUT LIGHT CHARGER,,328.000,0,199.000,163.976,159.200,159.200,159.200,159.200,159.200,5,*1.1905,5,*1.1905,0,,,119050000,N,,,04/01/2022,06/30/2022,N
1002~159~76906~19825.1,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,GLOBAL,GLOBAL,GLOBAL CAPACITOR,GA6,76906,GLBSRC 70/5 MFD 370/440V RND RUN,,62.135,0,60.231,24.854,24.130,24.130,24.130,24.130,24.130,1,$29.240,1,$29.240,29.24000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~752835~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,IK5,752835,REHAU 1/2 RAUPEX RED UV SHIELD PIPE,,1.017,0,1.134,0.450,0.437,0.437,0.437,0.437,0.437,28,GP21.63,28,GP21.63,0,,,127599847,N,,,12/01/2021,06/30/2022,N
1002~159~990924~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,990924,REHAU 5/8 EVERLOC LF BRASS PLUG,,15.800,0,16.720,6.998,6.794,6.794,6.794,6.794,6.794,28,GP13.23,28,GP13.23,0,,,115247205,N,,,12/01/2021,06/30/2022,N
1002~159~12428~19825.1,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,BERRYPLS,BERRYPLS,MSC TAPE,AR,12428,BERRYPLST 243 VINYL DUCT TAPE 2X60,,17.639,0,16.450,7.056,6.850,6.850,6.850,6.850,6.850,1,$8.250,1,$8.250,8.25000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~1098010~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIVTECH,DIVTECH,DIVTECH,DIVTECH,1098010,DIVERS FLASH DETECT INJECT 990,,119.380,0,83.857,47.751,46.360,46.360,46.360,46.360,46.360,1,$59.690,1,$59.690,59.69000,,,0,N,,,04/11/2022,05/06/2022,N
1039~159~1417980~19787,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,ALLISPRT,ALLISPRT,ALLISPRT,ALLISPRT,1417980,ALISPRT HIGH BRIGHT 6K LUMENS,,49.990,0,48.390,28.469,27.640,27.640,27.640,27.640,27.640,28,GP41.167597,28,GP41.167597,0,,,169974359,N,,,03/04/2022,06/30/2022,N
1029~159~1123~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL ACC,MTA,1123,MILWTL 9 18TPI 5PK SAWZALL BLADE,,28.400,27.400,18.890,11.454,11.120,11.120,11.120,11.120,11.120,5,*1.6666,5,*1.6666,0,,,166660000,N,,,04/01/2022,06/30/2022,N
1100~159~262400~19664.2,,N,,1100,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DAP,DAP,DAP,DX,262400,DAP KWIK SEAL KITCH N BATH ADH,,4.378,0,4.778,1.750,1.700,1.700,1.700,1.700,1.700,1,$2.4900,1,$2.4900,2.49000,,,0,N,,,11/01/2021,06/30/2022,N
1002~159~39497~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,IK5,39497,REHAU 3/4 RAUPEX TUBE 100FT COIL,,1.659,0,1.836,0.734,0.713,0.713,0.713,0.713,0.713,28,GP21.86,28,GP21.86,0,,,127975429,N,,,12/01/2021,06/30/2022,N
1002~159~580940~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,580940,REHAU 1/2 EVERLOC PEXA SLEEVE,,0.250,0,0.302,0.111,0.108,0.108,0.108,0.108,0.108,28,GP9.61,28,GP9.61,0,,,110631707,N,,,12/01/2021,06/30/2022,N
1022~159~GGENCABLE~19694.2,,N,,1022,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,,,,,GGENCABLE,,,0,0,0,0,0,0,0,0,0,5,GP26,5,GP26,0,,,135135135,N,,,12/01/2021,06/30/2022,N
1002~159~1498899~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,RECSEAL,RECSEAL,RECSEAL,RECSEAL,1498899,RECTORSEAL PRO-FIT 3/4IN QUIK CNECT,,46.170,0,32.727,18.468,17.930,17.930,17.930,17.930,17.930,5,GP30,5,GP30,0,,,142857143,N,,,12/01/2021,06/30/2022,N
1008~159~108844~19780.1,,N,,1008,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,AORESID,AORESID,AORESID NG,AOQ,108844,AOSMTH NG 50 GAL 40K WH WR,,1411.100,0,687.000,685.000,685.000,685.000,685.000,685.000,685.000,28,D0.960699,28,D0.960699,0,,,104090875,N,,,02/25/2022,06/30/2022,N
